date_hosp,group,n,cum_hosp,notes
7/3/2020,Minnehaha County,,327,
7/3/2020,Rest of South Dakota,,360,
7/4/2020,Minnehaha County,,327,
7/4/2020,Rest of South Dakota,,362,
7/5/2020,Minnehaha County,,327,
7/5/2020,Rest of South Dakota,,364,
7/6/2020,Minnehaha County,,327,
7/6/2020,Rest of South Dakota,,365,
7/7/2020,Minnehaha County,,326,lower than previous. Due to correction?
7/7/2020,Rest of South Dakota,,373,
7/8/2020,Minnehaha County,,329,
7/8/2020,Rest of South Dakota,,380,
7/9/2020,Minnehaha County,,333,
7/9/2020,Rest of South Dakota,,385,
7/10/2020,Minnehaha County,,334,
7/10/2020,Rest of South Dakota,,392,
7/11/2020,Minnehaha County,,340,
7/11/2020,Rest of South Dakota,,398,
7/12/2020,Minnehaha County,,340,
7/12/2020,Rest of South Dakota,,398,
7/13/2020,Minnehaha County,,341,
7/13/2020,Rest of South Dakota,,401,
7/14/2020,Minnehaha County,,341,
7/14/2020,Rest of South Dakota,,403,
7/15/2020,Minnehaha County,,342,
7/15/2020,Rest of South Dakota,,410,
7/16/2020,Minnehaha County,,342,
7/16/2020,Rest of South Dakota,,415,
7/17/2020,Minnehaha County,,344,
7/17/2020,Rest of South Dakota,,419,
7/18/2020,Minnehaha County,,347,
7/18/2020,Rest of South Dakota,,424,
7/19/2020,Minnehaha County,,347,we did not enter data on this date
7/19/2020,Rest of South Dakota,,427,we did not enter data on this date
7/20/2020,Minnehaha County,,347,
7/20/2020,Rest of South Dakota,,427,
7/21/2020,Minnehaha County,,347,
7/21/2020,Rest of South Dakota,,429,
7/22/2020,Minnehaha County,,349,
7/22/2020,Rest of South Dakota,,441,
